case_id,query,mode,mode_description,n_recommendations,relevance,profile_alignment,category_diversity,category_entropy,novelty,grounding_quality,disliked_conflicts,recommended_restaurants,primary_categories
italian_pasta_budget,I want cheap Italian food in NYC with good pasta and online ordering.,baseline_query_only_proxy,Baseline LLM target behavior,5,0.8971,0.93,0.2,0.0,0.8,0.82,1,Amali NYC; Tony's Di Napoli - Midtown; Red Rooster Harlem; Sardi's Restaurant; Amarone Scarlatto,Italian; Italian; Italian; Italian; Italian
italian_pasta_budget,I want cheap Italian food in NYC with good pasta and online ordering.,taste_profile_proxy,LLM + taste profile target behavior,5,0.8514,1.0,0.2,0.0,0.6,0.82,0,2 Bros Pizza; Tony's Di Napoli - Midtown; Sardi's Restaurant; Amarone Scarlatto; Eataly Downtown,Italian; Italian; Italian; Italian; Italian
italian_pasta_budget,I want cheap Italian food in NYC with good pasta and online ordering.,taste_profile_rag_proxy,LLM + taste profile + RAG target behavior,5,0.8714,1.0,0.2,0.0,0.8,1.0,0,Tony's Di Napoli - Midtown; Upland; Amarone Scarlatto; Bar Primi; Trattoria Casa di Isacco,Italian; Italian; Italian; Italian; Italian
korean_casual,I am looking for a casual Korean restaurant in NYC with generous portions.,baseline_query_only_proxy,Baseline LLM target behavior,5,0.5943,1.0,0.2,0.0,0.8,0.76,0,Miss Korea BBQ; Jongro BBQ; Gunbae Tribeca; KOBA Korean Bbq; Madangsui Korean BBQ Restaurant,Asian; Asian; Asian; Asian; Asian
korean_casual,I am looking for a casual Korean restaurant in NYC with generous portions.,taste_profile_proxy,LLM + taste profile target behavior,5,0.5643,1.0,0.2,0.0,0.8,0.7,0,Miss Korea BBQ; Gunbae Tribeca; LOVE Korean BBQ; Woorijip; Five Senses,Asian; Asian; Asian; Asian; Asian
korean_casual,I am looking for a casual Korean restaurant in NYC with generous portions.,taste_profile_rag_proxy,LLM + taste profile + RAG target behavior,5,0.5443,1.0,0.4,0.7219,0.4,0.88,0,Miss Korea BBQ; Gyu-Kaku Japanese BBQ; Danji; KOBA Korean Bbq; Gunbae Tribeca,Asian; Japanese; Asian; Asian; Asian
japanese_date_night,Find me a date-night Japanese restaurant in NYC that is not too expensive.,baseline_query_only_proxy,Baseline LLM target behavior,5,0.6186,1.0,0.2,0.0,0.8,0.76,0,Zuma; Sushi of Gari; Shabu-Tatsu; Mifune; Zaika NYC,Japanese; Japanese; Japanese; Japanese; Japanese
japanese_date_night,Find me a date-night Japanese restaurant in NYC that is not too expensive.,taste_profile_proxy,LLM + taste profile target behavior,5,0.5514,1.0,0.2,0.0,0.6,0.76,0,Zuma; Zaika NYC; Bodhi Kosher Vegan Sushi & Dim Sum Restaurant; Hama Japanese Cuisine; Sushi of Gari,Japanese; Japanese; Japanese; Japanese; Japanese
japanese_date_night,Find me a date-night Japanese restaurant in NYC that is not too expensive.,taste_profile_rag_proxy,LLM + taste profile + RAG target behavior,5,0.4743,1.0,0.2,0.0,0.6,1.0,0,Zuma; TAO Downtown Restaurant; Cha Pa's Noodles & Grill; Whole Foods Market; Hasaki,Japanese; Japanese; Japanese; Japanese; Japanese
open_dinner_profile_comparison,I want something good for dinner in NYC.,baseline_query_only_proxy,Baseline LLM target behavior,5,0.45,0.0,0.6,0.865,1.0,0.694,0,Antique Garage; Carmine's Italian Restaurant - Times Square; Bill's Bar & Burger; Eleven Madison Park; Hard Rock Cafe,European; Italian; American; American; American
open_dinner_profile_comparison,I want something good for dinner in NYC.,taste_profile_proxy,LLM + taste profile target behavior,5,0.3833,1.0,0.2,0.0,0.8,0.88,0,TAO Downtown Restaurant; Zuma; Whole Foods Market; Bread & Butter; Flame Hibachi Downtown,Japanese; Japanese; Japanese; Japanese; Japanese
open_dinner_profile_comparison,I want something good for dinner in NYC.,taste_profile_rag_proxy,LLM + taste profile + RAG target behavior,5,0.3833,1.0,0.2,0.0,0.8,0.88,0,TAO Downtown Restaurant; Zuma; Whole Foods Market; Bread & Butter; Flame Hibachi Downtown,Japanese; Japanese; Japanese; Japanese; Japanese
